comments,N,lang,en-en,comments
Definitely would stay here again,1,english,en-en,Definitely would stay here again
Quite small but warm,1,english,en-en,Quite small but warm
"nice little 'hostel' in Paris, Renaud was very helpful.",1,english,en-en,"nice little 'hostel' in Paris, Renaud was very helpful."
Wonderful stay! Area is great! Would stay again!,1,english,en-en,Wonderful stay! Area is great! Would stay again!
House is very small,1,english,en-en,House is very small
Comfortable is like as  home,1,english,en-en,Comfortable is like as  home
I loved staying here. It was very nice energy.,1,english,en-en,I loved staying here. It was very nice energy.
Our host(melika's son) was very nice. He did us several favors:D. We strongly recommend here.,1,english,en-en,Our host(melika's son) was very nice. He did us several favors:D. We strongly recommend here.
We had a wonderful stay,1,english,en-en,We had a wonderful stay
"Great host, very welcoming home.",1,english,en-en,"Great host, very welcoming home."
5* stay if you visit Paris.,1,english,en-en,5* stay if you visit Paris.
Stephanie’s place is super stylish! Also Stephanie was very accommodating. You won’t regret if you choose her place to stay!,1,english,en-en,Stephanie’s place is super stylish! Also Stephanie was very accommodating. You won’t regret if you choose her place to stay!
Felt at home.,1,english,en-en,Felt at home.
All very good,1,english,en-en,All very good
Mathieu is a very kind and helpful host!,1,english,en-en,Mathieu is a very kind and helpful host!
"Camille is very nice host, she was helpful and kind",1,english,en-en,"Camille is very nice host, she was helpful and kind"
Was great! She was very helpful.,1,english,en-en,Was great! She was very helpful.
You will feel like your home when you enter first. Good neighbourhood.,1,english,en-en,You will feel like your home when you enter first. Good neighbourhood.
Asmaa was a wonderful host.,1,english,en-en,Asmaa was a wonderful host.
Ant was very helpful.,1,english,en-en,Ant was very helpful.
"Lovely room in a great neighborhood, very helpful host!",1,english,en-en,"Lovely room in a great neighborhood, very helpful host!"
Great location. Great views.  Medi was very nice.,1,english,en-en,Great location. Great views.  Medi was very nice.
She was amazing!!! You should all stay here. Eleanor was very helpful!,1,english,en-en,She was amazing!!! You should all stay here. Eleanor was very helpful!
Great stay! Wonderful host!,1,english,en-en,Great stay! Wonderful host!
Geraldine is very kind :),1,english,en-en,Geraldine is very kind :)
very small,1,english,en-en,very small
Thank you Julie! The stay in your flat was very good. We had a very good time.,1,english,en-en,Thank you Julie! The stay in your flat was very good. We had a very good time.
Very nice place. Front desk was helpful and kind.,1,english,en-en,Very nice place. Front desk was helpful and kind.
"Staff were polite, helpful and friendly. My stay was easy and very pleasant.",1,english,en-en,"Staff were polite, helpful and friendly. My stay was easy and very pleasant."
This Place makes you feel like you're home. We enjoyed our stay very much.,1,english,en-en,This Place makes you feel like you're home. We enjoyed our stay very much.
was very good,1,english,en-en,was very good
"Great stay, awesome host.",1,english,en-en,"Great stay, awesome host."
very nice room,2,english,en-en,very nice room
very enjoy,1,english,en-en,very enjoy
Laurie is warm and helpful host.,1,english,en-en,Laurie is warm and helpful host.
Great host who was very helpful,1,english,en-en,Great host who was very helpful
"Close to metro in a top floor unit, was a great few days :)",1,english,en-en,"Close to metro in a top floor unit, was a great few days :)"
Awesome views,1,english,en-en,Awesome views
Thank you very much. We enjoyed our visit in Paris a lot!,1,english,en-en,Thank you very much. We enjoyed our visit in Paris a lot!
Helene was a wonderful host!,1,english,en-en,Helene was a wonderful host!
I had a wonderful stay :),1,english,en-en,I had a wonderful stay :)
"Everything was fine.
Thank you",1,english,en-en,"Everything was fine.
Thank you"
"Raphaël was very flexible in order to accept our schedule.
Good place to stay.",1,english,en-en,"Raphaël was very flexible in order to accept our schedule.
Good place to stay."
Good place. Very near to gare du nord. Very well located. David was wonderful host.,1,english,en-en,Good place. Very near to gare du nord. Very well located. David was wonderful host.
It is great place to stay near Eiffel. Nathalie was very helpful and wonderful host.,1,english,en-en,It is great place to stay near Eiffel. Nathalie was very helpful and wonderful host.
It was very nice!,1,english,en-en,It was very nice!
"My experience with WAng' home was like a home away from home.
Meeting her was like meeting an old school friend :)
The home is located very central - a few meters away from Republique. You can not miss to locate the place. Its very quiet neighborhood .
Wang is a very nice  host . Thanks Wang !",1,english,en-en,"My experience with WAng' home was like a home away from home.
Meeting her was like meeting an old school friend :)
The home is located very central - a few meters away from Republique. You can not miss to locate the place. Its very quiet neighborhood .
Wang is a very nice  host . Thanks Wang !"
"Good, very good",1,english,en-en,"Good, very good"
Wonderful house and very nice family! Isabelle and her family make you feel at home.,1,english,en-en,Wonderful house and very nice family! Isabelle and her family make you feel at home.
"Isabelle is a wonderful host. Perhaps it was my error in not being aware, but breakfast is INCLUDED! Highly recommended!",1,english,en-en,"Isabelle is a wonderful host. Perhaps it was my error in not being aware, but breakfast is INCLUDED! Highly recommended!"
"Thanks Karima, we had a wonderful weekend!",1,english,en-en,"Thanks Karima, we had a wonderful weekend!"
Everything was very nice.,1,english,en-en,Everything was very nice.
we had a very good stay,1,english,en-en,we had a very good stay
very good host,2,english,en-en,very good host
We had a nice time. The staffs are wonderful. Everyone we came across was very sweet .,1,english,en-en,We had a nice time. The staffs are wonderful. Everyone we came across was very sweet .
Host was great and very helpful!,1,english,en-en,Host was great and very helpful!
it was very good .,1,english,en-en,it was very good .
Everything was great. Don’t hesitate to stay here.,1,english,en-en,Everything was great. Don’t hesitate to stay here.
Hotel La Louisiane was wonderful! Great location!,1,english,en-en,Hotel La Louisiane was wonderful! Great location!
I had an amazing stay and jasmina was very helpful!,1,english,en-en,I had an amazing stay and jasmina was very helpful!
Sweet landlord,1,english,en-en,Sweet landlord
It’s  wonderful   Places  And sophie is Friendly. I ‘ll want to stay again,1,english,en-en,It’s  wonderful   Places  And sophie is Friendly. I ‘ll want to stay again
Very helpful host :),1,english,en-en,Very helpful host :)
It was very nice experience,1,english,en-en,It was very nice experience
very gud,1,english,en-en,very gud
Awesome host :),1,english,en-en,Awesome host :)
Paris is at your doorstep. Quiet and comfy. Maria is wonderful,1,english,en-en,Paris is at your doorstep. Quiet and comfy. Maria is wonderful
it was pleasure to stay Sebastian home.,1,english,en-en,it was pleasure to stay Sebastian home.
hotel sympa,1,english,en-en,hotel sympa
"Nice flat minutes away from Sacre-Coeur, we enjoyed our stay",1,english,en-en,"Nice flat minutes away from Sacre-Coeur, we enjoyed our stay"
Nice guy. He made us feel like home and welcomed. He was gentle. Would recommend.,1,english,en-en,Nice guy. He made us feel like home and welcomed. He was gentle. Would recommend.
wonderful hospitality,1,english,en-en,wonderful hospitality
Very helpful staff,1,english,en-en,Very helpful staff
15 mins walk from Gare du nord.,1,english,en-en,15 mins walk from Gare du nord.
Everything was great enjoyable stay,1,english,en-en,Everything was great enjoyable stay
It was like staying at home.,1,english,en-en,It was like staying at home.
very nice hotel!!,1,english,en-en,very nice hotel!!
Daniel was a great host.  He was very helpful and responsive.,1,english,en-en,Daniel was a great host.  He was very helpful and responsive.
We really enjoyed our stay at Rozenn's flat. Great view of Paris and very well located. Rozenn was really helpful.,1,english,en-en,We really enjoyed our stay at Rozenn's flat. Great view of Paris and very well located. Rozenn was really helpful.
"Rajae was very hospitality. Her place is cute. Thank you!
",1,english,en-en,"Rajae was very hospitality. Her place is cute. Thank you!
"
"Great stay, made our trip to Paris very enjoyable",1,english,en-en,"Great stay, made our trip to Paris very enjoyable"
Joel is very kind and helpful. Room was clean and comfortable.,1,english,en-en,Joel is very kind and helpful. Room was clean and comfortable.
"We really enjoy our stay in Paris. Hélène's place was wonderful.
",1,english,en-en,"We really enjoy our stay in Paris. Hélène's place was wonderful.
"
Estelle was very helpful and ensured I had a good night stay!,1,english,en-en,Estelle was very helpful and ensured I had a good night stay!
very good host!!,1,english,en-en,very good host!!
"Very good, very quiet. ",1,english,en-en,"Very good, very quiet. "
"He was very friendly, is 100% recommendable",1,english,en-en,"He was very friendly, is 100% recommendable"
Alex is a very kind person. It was a great stay!,1,english,en-en,Alex is a very kind person. It was a great stay!
"Thanks to Marvin, he was very kind.",1,english,en-en,"Thanks to Marvin, he was very kind."
Comfy. Home like.,1,english,en-en,Comfy. Home like.
what is you see is What you'll get,1,english,en-en,what is you see is What you'll get
"I had a wonderful stay at Vinay's place.
Very close to metro.",1,english,en-en,"I had a wonderful stay at Vinay's place.
Very close to metro."
Noisy,1,english,en-en,Noisy
"Laurent was very hospitable, kind and friendly.",1,english,en-en,"Laurent was very hospitable, kind and friendly."
"Oliver is a great host! He was quiсk and very helpfool. 
Me and my colleague did enloy our stay",1,english,en-en,"Oliver is a great host! He was quiсk and very helpfool. 
Me and my colleague did enloy our stay"
Galia was very helpful and kind.,1,english,en-en,Galia was very helpful and kind.
very good spot!,1,english,en-en,very good spot!
its very nice room,1,english,en-en,its very nice room
The host is very kind!,1,english,en-en,The host is very kind!
Demian was very friendly and easy going. Everything worked out very well. We enjoyed our stay.,1,english,en-en,Demian was very friendly and easy going. Everything worked out very well. We enjoyed our stay.
Awesome hotel,1,english,en-en,Awesome hotel
we enjoyed our stay,1,english,en-en,we enjoyed our stay
Emilie was great! She is so hospitable,1,english,en-en,Emilie was great! She is so hospitable
Mireille was very welcoming.,1,english,en-en,Mireille was very welcoming.
I enjoyed my stay here. It was good.  Adrien is a very good host.,1,english,en-en,I enjoyed my stay here. It was good.  Adrien is a very good host.
"Meriem was very helpful, and I enjoyed my stay at her place.",1,english,en-en,"Meriem was very helpful, and I enjoyed my stay at her place."
"Good host, very responsive.",1,english,en-en,"Good host, very responsive."
wonderful stay!,1,english,en-en,wonderful stay!
"She was very nice ,",1,english,en-en,"She was very nice ,"
Martin was very gentle.,1,english,en-en,Martin was very gentle.
It was very cosy. We enjoyed our stay.,1,english,en-en,It was very cosy. We enjoyed our stay.
it was ok in general,1,english,en-en,it was ok in general
We enjoyed our stay at Bérénice's lovely home. She was quick to respond and very helpful.,1,english,en-en,We enjoyed our stay at Bérénice's lovely home. She was quick to respond and very helpful.
"Wonderful, quick easy stay!",1,english,en-en,"Wonderful, quick easy stay!"
Was very nice.,1,english,en-en,Was very nice.
Awesome stay.,1,english,en-en,Awesome stay.
Team was very kind.,1,english,en-en,Team was very kind.
Very friendly hostel,1,english,en-en,Very friendly hostel
This was simply wonderful.,1,english,en-en,This was simply wonderful.
"very 
",1,english,en-en,"very 
"
he is a very helpful host.,1,english,en-en,he is a very helpful host.
Camille was a wonderful host. Thanks again!,1,english,en-en,Camille was a wonderful host. Thanks again!
our stay was wonderful nd would highly recommend staying here.,1,english,en-en,our stay was wonderful nd would highly recommend staying here.
He was amazing and very helpful.,1,english,en-en,He was amazing and very helpful.
She is very kind.,1,english,en-en,She is very kind.
Wonderful neighborhood and value!,1,english,en-en,Wonderful neighborhood and value!
lovely host very helpful,1,english,en-en,lovely host very helpful
"Great host, very helpful. Would stay again!",1,english,en-en,"Great host, very helpful. Would stay again!"
Everything was wonderful. I recommend!,1,english,en-en,Everything was wonderful. I recommend!
"Daé is a very thoughtful host, and she made my stay in Paris feel like home! Je la recommande.",1,english,en-en,"Daé is a very thoughtful host, and she made my stay in Paris feel like home! Je la recommande."
Host was good. But studio is way smaller than it looks in picture. Building is very old.,1,english,en-en,Host was good. But studio is way smaller than it looks in picture. Building is very old.
Katia was kind and helpful. I enjoyed my stay,1,english,en-en,Katia was kind and helpful. I enjoyed my stay
"Lovely little hostel, everyone was friendly and helpful! ",1,english,en-en,"Lovely little hostel, everyone was friendly and helpful! "
"It was good
But bed is noisy",1,english,en-en,"It was good
But bed is noisy"
It's a wonderful house!,1,english,en-en,It's a wonderful house!
"Really enjoyed our stay, max was very easy to deal with!",1,english,en-en,"Really enjoyed our stay, max was very easy to deal with!"
Pierre’s place was good. Was very warm . Can be loud at night...late.,1,english,en-en,Pierre’s place was good. Was very warm . Can be loud at night...late.
gareth is a very nice host. it was awesome stay,1,english,en-en,gareth is a very nice host. it was awesome stay
Juliana’s place was very welcoming,1,english,en-en,Juliana’s place was very welcoming
"Paris is best place.
And her home is also convenient place!
Her kindness was very wonderful.",1,english,en-en,"Paris is best place.
And her home is also convenient place!
Her kindness was very wonderful."
"Great host, very friendly, I really felt like home.",1,english,en-en,"Great host, very friendly, I really felt like home."
We enjoyed our stay at Maxim house.,1,english,en-en,We enjoyed our stay at Maxim house.
Sweet house. Super hosts.,1,english,en-en,Sweet house. Super hosts.
Great view and sweet host!,1,english,en-en,Great view and sweet host!
"Kind & honest host.
Affordable value.",1,english,en-en,"Kind & honest host.
Affordable value."
We really enjoyed our stay at Hervé's! He was very helpful and friendly. Thank you!,1,english,en-en,We really enjoyed our stay at Hervé's! He was very helpful and friendly. Thank you!
Wonderful host! Very accommodating!,1,english,en-en,Wonderful host! Very accommodating!
"The flat was very nice, a great neighbourhood. We really enjoyed our stay. Thanks!",1,english,en-en,"The flat was very nice, a great neighbourhood. We really enjoyed our stay. Thanks!"
Herbert was very sweet and kind. We really enjoyed our stay.,1,english,en-en,Herbert was very sweet and kind. We really enjoyed our stay.
a very handsome landlord,1,english,en-en,a very handsome landlord
Good apt in Paris. Sarah is a very good host,1,english,en-en,Good apt in Paris. Sarah is a very good host
Great little apartment. Laszlo was very helpful,1,english,en-en,Great little apartment. Laszlo was very helpful
A host 100% awesome.,1,english,en-en,A host 100% awesome.
It is very good,1,english,en-en,It is very good
"Standard hostel, nothing negative",1,english,en-en,"Standard hostel, nothing negative"
Mai was very helpful. Clean great place ! See you again!,1,english,en-en,Mai was very helpful. Clean great place ! See you again!
Great place to stay! Subway was very close. Place was very clean.,1,english,en-en,Great place to stay! Subway was very close. Place was very clean.
Dikta was a wonderful host. Easy directions to locate keys and flat.,1,english,en-en,Dikta was a wonderful host. Easy directions to locate keys and flat.
Was very nice,1,english,en-en,Was very nice
"Excellent host, easy stay, wonderful Paris",1,english,en-en,"Excellent host, easy stay, wonderful Paris"
Great stay in a house with wonderful view!,1,english,en-en,Great stay in a house with wonderful view!
Gabriel is very responsive.,1,english,en-en,Gabriel is very responsive.
Everything was great! Charbel is very nice!!,1,english,en-en,Everything was great! Charbel is very nice!!
What you see is what you get,1,english,en-en,What you see is what you get
all very good. Joel is very nice.,1,english,en-en,all very good. Joel is very nice.
great room. very clean,1,english,en-en,great room. very clean
Everyting is very good!,1,english,en-en,Everyting is very good!
Laurent is a wonderful host,1,english,en-en,Laurent is a wonderful host
Good hostage,1,english,en-en,Good hostage
Place was great host very accommodating,1,english,en-en,Place was great host very accommodating
She is a very kind host:),1,english,en-en,She is a very kind host:)
"Thanks , very good",1,english,en-en,"Thanks , very good"
She is very nice.,1,english,en-en,She is very nice.
We had a very pleasant stay at Kayla place. Kayla was a great host.,1,english,en-en,We had a very pleasant stay at Kayla place. Kayla was a great host.
It was nice. Sarah is next door so always available,1,english,en-en,It was nice. Sarah is next door so always available
Raphael was an amazing host! I enjoyed my stay he was very kind and helpful,1,english,en-en,Raphael was an amazing host! I enjoyed my stay he was very kind and helpful
Super week-end !!!,1,afrikaans,en-en,Super week-end !!!
"역근처에 있어서 교통편이 편리한 편이었고, 아파트가 안전해 보이며 조용하고 편안히 지낼 수 있었어요 
",1,afrikaans,ko-en,"Station near in the transportation is convenient, the apartment is safe and quiet and the comfort can. 
"
"房东非常的友好,回复信息及时,地方离地铁也非常的近｡旁边可找到很多shop 而且你也会发现旁边都有很多国人开的服装店｡",1,afrikaans,zh-en,"The landlord is very friendly,reply to information in a timely manner,the place from the subway is also very near the apartment. Next to can be found in many shop and also you will find next to many people to open clothing store location."
"Leuke locatie, klein maar gezellig",1,afrikaans,nl-en,"Nice location, small but cozy"
"Rudy nam alle tijd om ons het appartement te tonen, gaf tips
voor de buurt, gaf ook aan wat er kapot was in het huis zodat we ons daar geen zorgen over hoefden te maken...
Ja de buurt kon niet  beter, het echte Parijs veel kunstwinkels
goede restaurants maar vooral super gezellig
",1,afrikaans,nl-en,"Rudy took all the time to give us the apartment to show, gave tips
for near, also gave what was broken in the house so we have no worries about having to make...
Yes, the neighborhood could not be better, the real Paris many art shops
good restaurants but especially super cozy
"
"엘리베이터가 없어서 다소 힘들었지만 버스, 메트로 등 접근성이 훌륭하며 룸도 굉장히 아늑하고 좋았습니다",1,afrikaans,ko-en,"There is no Elevator in the place was difficult, but bus, metro access is great and the room very cozy and nice."
Goed onthaal. Beschrijving was uitvoerig en accuraat.,1,afrikaans,nl-en,"Clean, friendly staff. Description was detailed and accurate."
Petit nid douillet,2,french,fr-en,Cozy little nest
"Bij aankomst was het appartement niet gepoetst. Uiteindelijk was het pas enkele uren later in orde, heel spijtig. Daarnaast moet je ook rekening houden met het feit dat het appartement kleiner en minder gezellig is dan op de foto’s. 
Het appartement is niet heel centraal gelegen, maar met de metro geraak je overal vlot.",1,afrikaans,nl-en,"On arrival was the apartment not cleaned. Ultimately, it was only a few hours later in order, very sad. In addition, you should also take into account the fact that the apartment is smaller and less cosy than on the pictures. 
The apartment is not very centrally located, but with the metro you get everywhere easily."
"Leuke locatie, niets te klagen",1,afrikaans,nl-en,"Nice location, nothing to complain about"
"Maguy was er niet bij aankomst, wat ik wist, maar had het heel goed geregeld. Alles was netjes geregeld.",1,afrikaans,nl-en,"Maguy was not there on arrival, which I knew, but had it very well controlled. Everything was neatly arranged."
"非常好的体验,地点好,离M5地铁非常近,周围也有几个公交站｡离中国社区很近｡坐67可以到蓬皮杜艺术中心｡床舒服,Alain 很好,非常细心的准备了一切,包括丰富的早餐｡最突出的是房间里有很多文化的东西可以看看,感兴趣的话可以看书看电视｡我的手破了还有创可贴｡总之,是一次wonderful的旅程 ｡",1,afrikaans,zh-en,"Very good experience,good location,away from the M5 Metro is very close,around there are also several bus stops available. From the Chinese community very close to home. Taking 67 to the Pompidou Center area. Bed comfortable,Alain is very good,very attentive prepared everything,including a rich Breakfast and great views. The most prominent is the room where there are many cultural things you can see,are interested can read books and watch TV and great views. My hand is broken and Band-Aid's. In short,is a wonderful journey location."
"Het appartement was ok, maar er was nauwelijks bestek en maar 1 kapot kopje. Er was geen wifi, en aangezien dat beloofd was heb ik daarom gevraagd aan Sophie, toen kreeg ik een vervelende sms terug dat ik naar de cafe's beneden kon gaan. Ik vind dan ook dat Sophie echt haar website moet aanpassen en wifi er af moet halen. ",1,afrikaans,nl-en,"The apartment was ok, but there was hardly any cutlery and only 1 broken cup. There was no wi-fi, and since that was promised and therefore I asked Sophie, when I got a nasty text back that I go to the cafe down could go. I also find that Sophie really its web site needs to adjust and wi-fi need to take off. "
Au top,33,afrikaans,en-en,Au top
"Het appartement was ruim en heel rustig gelegen. Claire was ook bereikbaar wanneer info nodig was. Maar het was niet zo proper.  En je moest heel stil zijn, geen stofzuoger of vaatwas na 20u. Dat was wel vervelend met 2 kleuters. Dit wisten we niet op voorhand... maar we hebben ons wel geamuseerd.",1,afrikaans,nl-en,"The apartment was spacious and very quiet. Claire was also available when info was needed. But it was not as clean. And you had to be very quiet, no stofzuoger or dishwasher after 20h. That was kind of annoying with 2 toddlers. This we didn't know in advance... but we've been amused."
"Au top, rien a dire.",1,afrikaans,fr-en,"At the top, nothing to say."
het was erg goed goed bed lekker ontbijt gezellige sfeer,1,afrikaans,nl-en,it was very clean good bed good breakfast friendly atmosphere
"Wij hebben een geweldig verblijf gehad in dit appartement. Het was een kleine kamer, maar wel schoon en alles wat we nodig hadden was er. Het appartement ligt goed gelegen bij metrostations, bussen en winkels! Ideaal om een paar dagen met zn tweeen te verblijven.",1,afrikaans,nl-en,"We have a great stay in this apartment. It was a small room, but clean and everything we needed was there. The apartment is well located with metro stations, buses and shops! Ideal to spend a few days with his partner to stay."
"Fijn appartementje voor bezoekje aan Parijs. Het appartement is klein en compact, maar heeft alles wat je nodig hebt. Het ligt op een rustige en goed bereikbare locatie. Als je met auto komt kan je in het weekend (gratis!) parkeren om de hoek. Fabrice heeft alles helder uitgelegd, hij was zelf niet aanwezig maar dit was ook niet nodig. Uitzicht op sacre coeur is leuke extra touch van dit appartementje. ",1,afrikaans,nl-en,"Nice apartment for visit to Paris. The apartment is small and compact, but has everything you need. It is located in a quiet and easily accessible location. If you are coming by car, you can in the weekend (for free!) parking around the corner. Fabrice has everything explained, he himself was not present but this was not necessary. View of sacre coeur is a nice extra touch of this apartment. "
Lang verhaal kort; book elders!,1,afrikaans,en-en,Lang verhaal kort; book elders!
"1. 위치-유명 관광지가 도보로 20-30분 정도로 산책할 정도이며 대중교통 버스, 메트로(2개노선)이 3분 거리에 있어 이동할 때 매우 편리합니다. 
2. 안정성-주택가 내에 있고 아파트 바로 앞이 큰 길이고 지하철역이라 안전합니다.
3. 근처 5분 거리 이내에 큰 마트, 빵집, 음식점 등이 위치하며 매우 편리했습니다.
4. 기타 필요한 생필품이 다 준비되어 있습니다.
추천합니다.

Its location is very good(bus&metro). Also it was very safe with double security system. Safe&CleanEasy. Jaques answers in about 10min. It was best choice!",1,afrikaans,ko-en,"1. Location-tourist attractions 20-30 minutes by walking and public transportation bus, Metro(2 Line)3 minutes away when you move very convenient. 
2. Stability-housing is within the apartment right in front of a large length and area is safe.
3. Near 5 minutes in a large Mart, a bakery, a food store location and was very convenient.
4. Other necessary supplies ready.
Recommended.

Its location is very good(bus&metro). Also it was very safe with double security system. Safe&CleanEasy. Jaques answers in about 10min. It was the best choice!"
"Een leuke plek, op loopafstand van Sacre Coeur, leuke buurt. Francois is heel aardig. Inrichting wat sober, maar voldoet.",1,afrikaans,nl-en,"A nice place, within walking distance of Sacre Coeur, nice neighborhood. Francois is very nice. Decor lovely, but it does."
"非常好的住宿体验,房子位置很好 紧邻一号线 出门走2分钟便是凯旋门 闹中取静 房东提供了非常便捷的日常所需 很贴心 房间格局也比较开阔 装饰给人一种家的感觉 非常喜欢 下次来巴黎还会住在这里｡",1,afrikaans,zh-en,"Very good stay,the House location is very good close to the line one to go out walking for 2 minutes is the Arc de Triomphe quiet the landlord provides a very convenient daily needs are just some of the room pattern is also more open decor gives a feeling of home is very like the next time to Paris, will stay here areas."
"Hele fijne plek om een paar daagjes te vertoeven in Parijs. Er waren bij ons wat probleempjes met de schoonmaakster, maar Lou heeft ons uitstekend geholpen en het probleem was zo verholpen. Fijne wijk, supermarkt op loopafstand, metro om de hoek en het appartement zelf was klein maar wel erg knus. Zeker een aanrader als je eens naar Parijs gaat! ",1,afrikaans,nl-en,"Very nice place to have a few days to stay in Paris. There were at us some hiccups with the cleaning lady, but Lou has been excellent in assisting us and the problem was fixed. Nice neighborhood, grocery store within walking distance, metro around the corner and the apartment itself was small but very cozy. Definitely recommended if you ever go to Paris! "
Super week end !,1,afrikaans,en-en,Super week end !
"We waren met z'n vieren, en hebben het heerlijk gehad in het huis van Lea. Heel rustig straatje. Charmant huis met leuke boeken in de kast. Metro op 3 minuten lopen. Echt prima. Lea was op reis, maar haar moeder heeft ons prima opgevangen en geadviseerd over parkeren en zo. Een aanrader.",1,afrikaans,nl-en,"We were with z'n celebrate, and have a wonderful time in the house of Leah. Very quiet street. Charming house with nice books in the cabinet. Metro 3-minute walk away. Really great. Leah was on a trip, but her mother has us perfectly collected, and advised on parking and such. A must."
"'n Pragtige en snoesige woonstel met alles wat ons nodig gehad het en meer. Dit het ons kuier en Parys help spesiaal voel en die lokasie het dit baie gemaklik gemaak om al die toeristeatraksies maklik te bereik. 'n Bonus was ook die riglyne wat Marc gelos het oor Parys, ons het dit verseker gebruik. Baie dankie aan Marc, ons sal verseker weer by die woonstel verblyf. Thank you Marc, we had a great stay and definitely recommend you apartment to those interested.  ",1,afrikaans,af-en,"A Beautiful and cosy apartment with everything we needed and more. It took us socialize and Paris help feel special and the location made it very comfortable made to all the toeristeatraksies easy to reach. A Bonus was also the guidelines that Marc had left about Paris, we have it secured use. Many thanks to Marc, we will ensure again at the apartment residence. Thank you Marc, we had a great stay and definitely recommend you apartment to those interested. "
Prima plek maar niet fántáástiessss ofzo,1,afrikaans,pap-en,Prima plek maar niet fantastic bear
"Het appartement van Pierre is geweldig. Sfeervol, heel rustig en stil, en ruim. Geen overbodige spullen maar wel alles wat je nodig hebt.",1,afrikaans,nl-en,"The apartment of Pierre is great. Attractive, very peaceful and quiet, and spacious. No unnecessary stuff, but everything you need."
Au top !,25,afrikaans,en-en,Au top !
Clara was een heel fijne host. Ze was hulpvaardig en gastvrij en gaf tips over Parijs waar we gelijk wat mee hebben gedaan. De omgeving was heel prettig. Lekker rustig na de drukte van het centrum. Makkelijk te bereiken per openbaar vervoer.,1,afrikaans,nl-en,"Clara was a very fine host. She was helpful and welcoming and gave tips about Paris, where we are equal with what I have done. The environment was very pleasant. Nice and quiet after the hustle and bustle of the city centre. Easy to reach by public transport."
"6월 29일부터 7월 5일까지 7일간 이곳에 묵으면서 저희 네명은 환상적인 시간을 보냈습니다. 식기류와 침구류도 너무 깨끗했고, sylvie 또한 너무 친절했습니다.",1,afrikaans,ko-en,"6 29 from 7 November to 5 days up to 7 days stay there with our four names had a fantastic time. Dinnerware and bed linen too clean, sylvie also too friendly."
"De ontvangst was hartelijk en we kregen alle nodige uitleg . Alles wat we nodig konden hebben was genoteerd  ' telnrs ,  supermarkt ...Het appartement is heel goed gelegen , vlak bij Germain des prez, winkels, restaurants, metro .. Het is smaakvol ingericht en gerenoveerd . Alles wat je. Odig kan hebben is aanwezig. Zeker een aanrader.",1,afrikaans,nl-en,"The breakfast was wonderful and we received all the necessary explanations . Everything we need could have was listed ' telnrs , supermarket ...The apartment is very well located , close to Germain des prez, shops, restaurants, metro .. It is tastefully decorated and renovated . Everything you. Odig may have been present. Certainly a must."
Een prachtige plek om te verblijven in Parijs! Mooie kamer om de hoek van de Sacre Coeur en de metro. Verhuurder is ook erg aardig en reageert snel.,1,afrikaans,nl-en,A wonderful place to stay in Paris! Beautiful room around the corner from the Sacre Coeur and the metro. The landlord is also very kind and quick to respond.
"Heel vriendelijke ontvangst en Christophe nam alle tijd om uit te leggen wat allemaal de moeite waard was om te bezoeken en hoe er te komen.
Mooi en smaakvol ingericht appartement waarin het heerlijk vertoeven is. Centraal gelegen, de métro vlakbij en de bakker op de hoek; wat wil je nog meer. Wel het nodige verkeerslawaai, maar dat hoort nu eenmaal bij hartje Parijs.",1,afrikaans,nl-en,"Very friendly reception and Christophe took all the time to explain what all the trouble was worth to visit and how to get there.
Beautiful and tastefully furnished apartment in which to relax. Centrally located, the métro nearby, and the bakery on the corner; what more do you want. However, the necessary noise, but that it ought to be at the heart of Paris."
Het is een mooi appartement met hoge plafonds. Wel wat duur maar het is een mooie ligging vlakbij het louvre. James en sophia reageren snel.,1,afrikaans,nl-en,It is a beautiful apartment with high ceilings. Pretty expensive but it is a beautiful location near the louvre. James and sophia react quickly.
정말 정말 정말 좋은 숙소였습니다. 단 하룻밤을 묵었지만 Valerie의 친절에 감동했습니다. 영어에 미숙한 했지만 반복적으로 정말 친절하게 응대해 주었습니다. 침대 위에서 보는 에펠 뷰는 너무 너무 너무 너무 아름다웠습니다. 다음에 또 파리를 방문한다면 이 집을 또 방문하고 싶습니다. 정말 고맙습니다 Valerie. 이 글을 통해 Valerie에게 나의 진심이 전달되길 바랍니다.,1,afrikaans,ko-en,"Really really really nice hostel. Short stay overnight, but Valerie's kindness was touching. English inexperienced but was repeatedly really through the week. Above the bed in the Eiffel view 너무 너무 너무 너무 beautiful. Another visit to this house, or want to visit. Thank you so much Valerie. Through this article Valerie, my heartfelt delivery."
Pas top,1,afrikaans,en-en,Pas top
"Mooie kamer, goede locatie.",1,afrikaans,nl-en,"Nice room, good location."
"Het appartement is netjes. Het bed was opgemaakt toen we binnen kwamen en er stonden wat lekkere potjes jam klaar voor het ontbijt. Prima koffie met het espressoapparaat te maken en veel verschillende soorten thee. Verder was er beleg en brood. Het appartement heeft een vrolijke uitstraling en alles is aanwezig. Metro, bakker en supermarkt zijn vlakbij. Een prima plek. ",1,afrikaans,nl-en,"The apartment is neat. The bed was made when we came in and there were some nice jars of jam ready for breakfast. Great coffee with the espresso machine and many different types of tea. In addition, there was a siege and bread. The apartment has a cheerful feel and everything is there. Metro, bakery and supermarket are nearby. A great place to stay. "
